Uniprot_A	Uniprot_B	Gene_A	Gene_B	pmid:method:quality:type	taxid	high_quality
O32528	P0A6M8	ypdI	fusA	15690043:0096:LC:binary|15690043:0676:HT:co-complex	562	True
O32583	P30138	thiS	thiF	16388576:0114:LC:binary	562	True
O33976	O52124	espA	orf3	12904549:0018:LC:binary|15619638:0114:LC:binary|18178741:0004:LC:co-complex|18178741:0096:LC:binary	562	True
P00350	P00350	gnd	gnd	24561554:0096:HT:binary|24561554:0397:HT:binary	562	True
P00363	P00363	frdA	frdA	15690043:0007:LC:binary|15690043:0676:HT:co-complex	562	True
P00363	P0A8Q0	frdA	frdC	10373108:0114:LC:binary|11850430:0114:LC:binary	562	True
P00363	P0AC47	frdA	frdB	10373108:0114:LC:binary|11850430:0114:LC:binary	562	True
P00363	P31473	frdA	ravA	15690043:0007:LC:binary|15690043:0096:LC:binary|15690043:0676:HT:co-complex	562	True
P00363	P76111	frdA	ydcZ	15690043:0096:LC:binary|15690043:0676:HT:co-complex	562	True
P00448	P00448	sodA	sodA	11141052:0114:LC:binary|11294629:0114:LC:binary|PDB_1IX9:0114:LC:binary|PDB_1IXB:0114:LC:binary|PDB_1MMM:0114:LC:binary|PDB_1VEW:0114:LC:binary	562	True
P00452	P00452	nrdA	nrdA	15690043:0007:LC:binary|15690043:0676:HT:co-complex|17726094:0071:LC:binary|22160671:0028:LC:binary	562	True
P00452	P07004	nrdA	proA	15690043:0007:LC:binary|15690043:0096:LC:binary|15690043:0676:HT:co-complex	562	True
P00452	P0A8A2	nrdA	yeeN	15690043:0096:LC:binary|15690043:0676:HT:co-complex|19402753:0676:HT:co-complex	562	True
P00452	P0A9X4	nrdA	mreB	15690043:0096:LC:binary|15690043:0676:HT:co-complex|19402753:0676:HT:co-complex	562	True
P00452	P0CE47	nrdA	tufA	15690043:0096:LC:binary|15690043:0676:HT:co-complex	562	True
P00452	P68688	nrdA	grxA	10493864:0114:LC:binary	562	True
P00452	P76558	nrdA	maeB	15690043:0096:LC:binary|15690043:0676:HT:co-complex|19402753:0676:HT:co-complex	562	True
P00490	P00490	malP	malP	10469642:0114:LC:binary|12217700:0114:LC:binary|15690043:0007:LC:binary|15690043:0676:HT:co-complex|9145112:0114:LC:binary	562	True
P00490	P00582	malP	polA	15690043:0007:LC:binary|15690043:0096:LC:binary|15690043:0676:HT:co-complex|19402753:0676:HT:co-complex	562	True
P00490	P03018	malP	uvrD	15690043:0007:LC:binary|15690043:0096:LC:binary|15690043:0676:HT:co-complex|19402753:0676:HT:co-complex	562	True
P00490	P05055	malP	pnp	15690043:0007:LC:binary|15690043:0096:LC:binary|15690043:0676:HT:co-complex|19402753:0676:HT:co-complex	562	True
P00490	P05719	malP	hsdS	15690043:0007:LC:binary|15690043:0096:LC:binary|15690043:0676:HT:co-complex|19402753:0676:HT:co-complex	562	True
P00490	P06612	malP	topA	15690043:0007:LC:binary|15690043:0096:LC:binary|15690043:0676:HT:co-complex|19402753:0676:HT:co-complex	562	True
P00490	P06959	malP	aceF	15690043:0007:LC:binary|15690043:0096:LC:binary|15690043:0676:HT:co-complex	562	True
P00490	P09030	malP	xthA	15690043:0007:LC:binary|15690043:0096:LC:binary|15690043:0676:HT:co-complex	562	True
P00490	P0A6C1	malP	nfo	15690043:0007:LC:binary|15690043:0096:LC:binary|15690043:0676:HT:co-complex	562	True
